Series Name,Year,Value
Renewable internal freshwater resources per capita (cubic meters),1985,100705.244679868
"Annual freshwater withdrawals, total (billion cubic meters)",1985,1.9
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",1985,44.0
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",1985,10.0
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",1985,46.0
"Annual freshwater withdrawals, total (% of internal resources)",1985,0.581039755351682
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,1985,1.5484922575
"Renewable internal freshwater resources, total (billion cubic meters)",1985,327.0
Renewable internal freshwater resources per capita (cubic meters),1986,100730.061916644
"Annual freshwater withdrawals, total (billion cubic meters)",1986,1.9885714286
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",1986,44.0
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",1986,10.0
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",1986,46.0
"Annual freshwater withdrawals, total (% of internal resources)",1986,0.608125819143731
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,1986,1.6206776109
"Renewable internal freshwater resources, total (billion cubic meters)",1986,327.0
Renewable internal freshwater resources per capita (cubic meters),1987,99865.6242365013
"Annual freshwater withdrawals, total (billion cubic meters)",1987,2.0771428571
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",1987,44.0
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",1987,10.0
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",1987,46.0
"Annual freshwater withdrawals, total (% of internal resources)",1987,0.635211882905199
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,1987,1.6928629643
"Renewable internal freshwater resources, total (billion cubic meters)",1987,327.0
Renewable internal freshwater resources per capita (cubic meters),1988,99591.8864591582
"Annual freshwater withdrawals, total (billion cubic meters)",1988,2.1657142857
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",1988,44.0
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",1988,10.0
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",1988,46.0
"Annual freshwater withdrawals, total (% of internal resources)",1988,0.662297946697248
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,1988,1.7650483176
"Renewable internal freshwater resources, total (billion cubic meters)",1988,327.0
Renewable internal freshwater resources per capita (cubic meters),1989,99114.9369544132
"Annual freshwater withdrawals, total (billion cubic meters)",1989,2.2542857143
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",1989,44.0
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",1989,10.0
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",1989,46.0
"Annual freshwater withdrawals, total (% of internal resources)",1989,0.689384010489297
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,1989,1.837233671
"Renewable internal freshwater resources, total (billion cubic meters)",1989,327.0
Renewable internal freshwater resources per capita (cubic meters),1990,98204.0963421226
"Annual freshwater withdrawals, total (billion cubic meters)",1990,2.3428571429
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",1990,44.0
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",1990,10.0
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",1990,46.0
"Annual freshwater withdrawals, total (% of internal resources)",1990,0.716470074281346
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,1990,1.9094190243
"Renewable internal freshwater resources, total (billion cubic meters)",1990,327.0
Renewable internal freshwater resources per capita (cubic meters),1991,93559.5548052988
"Annual freshwater withdrawals, total (billion cubic meters)",1991,2.4314285714
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",1991,44.0
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",1991,10.0
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",1991,46.0
"Annual freshwater withdrawals, total (% of internal resources)",1991,0.743556138042814
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,1991,1.9816043777
"Renewable internal freshwater resources, total (billion cubic meters)",1991,327.0
Renewable internal freshwater resources per capita (cubic meters),1992,92589.9708355749
"Annual freshwater withdrawals, total (billion cubic meters)",1992,2.52
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",1992,44.0
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",1992,10.0
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",1992,46.0
"Annual freshwater withdrawals, total (% of internal resources)",1992,0.770642201834862
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,1992,2.0537897311
"Renewable internal freshwater resources, total (billion cubic meters)",1992,327.0
Renewable internal freshwater resources per capita (cubic meters),1993,91540.2273109009
"Annual freshwater withdrawals, total (billion cubic meters)",1993,2.6085714286
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",1993,44.0
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",1993,10.0
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",1993,46.0
"Annual freshwater withdrawals, total (% of internal resources)",1993,0.797728265626911
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,1993,2.1259750844
"Renewable internal freshwater resources, total (billion cubic meters)",1993,327.0
Renewable internal freshwater resources per capita (cubic meters),1994,90331.4917127072
"Annual freshwater withdrawals, total (billion cubic meters)",1994,2.6971428571
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",1994,44.0
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",1994,10.0
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",1994,46.0
"Annual freshwater withdrawals, total (% of internal resources)",1994,0.824814329388379
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,1994,2.1981604378
"Renewable internal freshwater resources, total (billion cubic meters)",1994,327.0
Renewable internal freshwater resources per capita (cubic meters),1995,89018.3481243535
"Annual freshwater withdrawals, total (billion cubic meters)",1995,2.7857142857
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",1995,44.0
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",1995,10.0
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",1995,46.0
"Annual freshwater withdrawals, total (% of internal resources)",1995,0.851900393180428
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,1995,2.2703457911
"Renewable internal freshwater resources, total (billion cubic meters)",1995,327.0
Renewable internal freshwater resources per capita (cubic meters),1996,87620.578778135
"Annual freshwater withdrawals, total (billion cubic meters)",1996,2.8742857143
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",1996,44.0
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",1996,10.0
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",1996,46.0
"Annual freshwater withdrawals, total (% of internal resources)",1996,0.878986456972477
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,1996,2.3425311445
"Renewable internal freshwater resources, total (billion cubic meters)",1996,327.0
Renewable internal freshwater resources per capita (cubic meters),1997,86478.1953296485
"Annual freshwater withdrawals, total (billion cubic meters)",1997,2.9628571429
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",1997,44.0
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",1997,10.0
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",1997,46.0
"Annual freshwater withdrawals, total (% of internal resources)",1997,0.906072520764526
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,1997,2.4147164978
"Renewable internal freshwater resources, total (billion cubic meters)",1997,327.0
Renewable internal freshwater resources per capita (cubic meters),1998,85714.2857142857
"Annual freshwater withdrawals, total (billion cubic meters)",1998,3.0514285714
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",1998,44.0
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",1998,10.0
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",1998,46.0
"Annual freshwater withdrawals, total (% of internal resources)",1998,0.933158584525994
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,1998,2.4869018512
"Renewable internal freshwater resources, total (billion cubic meters)",1998,327.0
Renewable internal freshwater resources per capita (cubic meters),1999,85265.0517587547
