,Series Name,Year,Value
0,GDP (constant 2015 US$),1960,42162423824.202
1,GDP (constant LCU),1960,60459861703.31
2,GDP (current LCU),1960,2843960225.78494
3,GDP (current US$),1960,5536098606.29231
4,GDP deflator (base year varies by country),1960,4.70388146063067
5,GDP growth (annual %),1960,
6,GDP per capita (constant 2015 US$),1960,17776.551068472
7,GDP per capita (constant LCU),1960,25491.1298184122
8,GDP per capita (current LCU),1960,1199.07252963359
9,GDP per capita (current US$),1960,2334.13382506632
10,GDP per capita growth (annual %),1960,
11,"GDP per capita, PPP (constant 2021 international $)",1960,
12,GDP deflator: linked series (base year varies by country),1960,
13,"GDP per capita, PPP (current international $)",1960,
14,GDP per person employed (constant 2021 PPP $),1960,
15,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),1960,
16,GDP per unit of energy use (PPP $ per kg of oil equivalent),1960,
17,"GDP, PPP (constant 2021 international $)",1960,
18,"GDP, PPP (current international $)",1960,
19,GDP: linked series (current LCU),1960,
20,GDP (constant 2015 US$),1961,43560382084.1861
21,GDP (constant LCU),1961,62464498899.1707
22,GDP (current LCU),1961,2944498663.65612
23,GDP (current US$),1961,5721995118.28133
24,GDP deflator (base year varies by country),1961,4.71387542611858
25,GDP growth (annual %),1961,3.31564965480389
26,GDP per capita (constant 2015 US$),1961,18002.3895872158
27,GDP per capita (constant LCU),1961,25814.9766083278
28,GDP per capita (current LCU),1961,1216.88583859822
29,GDP per capita (current US$),1961,2364.75394399361
30,GDP per capita growth (annual %),1961,1.27042933060454
31,"GDP per capita, PPP (constant 2021 international $)",1961,
32,GDP deflator: linked series (base year varies by country),1961,
33,"GDP per capita, PPP (current international $)",1961,
34,GDP per person employed (constant 2021 PPP $),1961,
35,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),1961,
36,GDP per unit of energy use (PPP $ per kg of oil equivalent),1961,
37,"GDP, PPP (constant 2021 international $)",1961,
38,"GDP, PPP (current international $)",1961,
39,GDP: linked series (current LCU),1961,
40,GDP (constant 2015 US$),1962,44902422331.7804
41,GDP (constant LCU),1962,64388951063.2148
42,GDP (current LCU),1962,3172314985.84004
43,GDP (current US$),1962,6133158804.52258
44,GDP deflator (base year varies by country),1962,4.92680022497272
45,GDP growth (annual %),1962,3.08087345285604
46,GDP per capita (constant 2015 US$),1962,18091.225758171
47,GDP per capita (constant LCU),1962,25942.3654565732
48,GDP per capita (current LCU),1962,1278.1285196777
49,GDP per capita (current US$),1962,2471.05511866341
50,GDP per capita growth (annual %),1962,0.49346877271384
51,"GDP per capita, PPP (constant 2021 international $)",1962,
52,GDP deflator: linked series (base year varies by country),1962,
53,"GDP per capita, PPP (current international $)",1962,
54,GDP per person employed (constant 2021 PPP $),1962,
55,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),1962,
56,GDP per unit of energy use (PPP $ per kg of oil equivalent),1962,
57,"GDP, PPP (constant 2021 international $)",1962,
